Code,Subdivision name ,Local variant
JO-AJ,‘Ajlūn,
JO-AQ,Al ‘Aqabah,Aqaba
JO-AM,Al ‘A̅şimah,‘Ammān
JO-BA,Al Balqā’,
JO-KA,Al Karak,
JO-MA,Al Mafraq,
JO-AT,Aţ Ţafīlah,
JO-AZ,Az Zarqā’,
JO-IR,Irbid,
JO-JA,Jarash,
JO-MN,Ma‘ān,
JO-MD,Mādabā,
