Code,Subdivision name ,Local variant,Subdivision category
OM-DA,Ad Dākhilīyah,,governorate
OM-BS,Shamāl al Bāţinah,,governorate
OM-BJ,Janūb al Bāţinah,,governorate
OM-WU,Al Wusţá,,governorate
OM-SS,Shamāl ash Sharqīyah,,governorate
OM-SJ,Janūb ash Sharqīyah,,governorate
OM-ZA,Az̧ Z̧āhirah,,governorate
OM-BU,Al Buraymī,,governorate
OM-MA,Masqaţ,Muscat,governorate
OM-MU,Musandam,,governorate
OM-ZU,Z̧ufār,Dhofar,governorate
