Code,Subdivision name ,Subdivision name ,Subdivision category
ET-AA,Ādīs Ābeba,Addis Ababa,administration
ET-DD,Dirē Dawa,Dire Dawa,administration
ET-AF,Āfar,Afar,state
ET-AM,Āmara,Amara,state
ET-BE,Bīnshangul Gumuz,Benshangul-Gumaz,state
ET-GA,Gambēla Hizboch,Gambela Peoples,state
ET-HA,Hārerī Hizb,Harari People,state
ET-OR,Oromīya,Oromia,state
ET-SO,Sumalē,Somali,state
ET-TI,Tigray,Tigrai,state
ET-SN,YeDebub Bihēroch Bihēreseboch na Hizboch,Southern Nations Nationalities and Peoples,state
