Former code,Subdivision name,Subdivision category
DK-147,Frederiksberg,city
DK-101,København,city
DK-040,Bornholm,county
DK-020,Frederiksborg,county
DK-042,Fyn,county
DK-015,København,county
DK-080,Nordjylland,county
DK-055,Ribe,county
DK-065,Ringkøbing,county
DK-025,Roskilde,county
DK-035,Storstrøm,county
DK-050,Sønderjylland,county
DK-060,Vejle,county
DK-030,Vestsjælland,county
DK-076,Viborg,county
DK-070,Århus,county
