Code,Subdivision Name (el,Subdivision Name (el,Subdivision Name (tr,Subdivision Name 
CY-04,Ammochostos,Αμμόχωστος,Mağusa,Famagusta
CY-06,Keryneia,Κερύvεια,Girne,Kyrenia
CY-03,Larnaka,Λάρνακα,Larnaka,Larnaca
CY-01,Lefkosia,Λευκωσία,Lefkoşa,Nicosia
CY-02,Lemesos,Λεμεσός,Leymasun,Limassol
CY-05,Pafos,Πάφος,Baf,Paphos
