Code,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision category
RW-01,City of Kigali,Ville de Kigali,Umujyi wa Kigali,city
RW-02,Eastern,Est,Iburasirazuba,province
RW-03,Northern,Nord,Amajyaruguru,province
RW-04,Western,Ouest,Iburengerazuba,province
RW-05,Southern,Sud,Amajyepfo,province
