Code,Subdivision name ,Subdivision category
MM-07,Ayeyarwady,region
MM-02,Bago,region
MM-03,Magway,region
MM-04,Mandalay,region
MM-01,Sagaing,region
MM-05,Tanintharyi,region
MM-06,Yangon,region
MM-14,Chin,state
MM-11,Kachin,state
MM-12,Kayah,state
MM-13,Kayin,state
MM-15,Mon,state
MM-16,Rakhine,state
MM-17,Shan,state
MM-18,Nay Pyi Taw,union territory
