Former code,Subdivision name
BG-02,Burgas
BG-09,Haskovo
BG-04,Loveč
BG-05,Montana
BG-06,Plovdiv
BG-07,Ruse
BG-08,Sofija
BG-01,Sofija-Grad
BG-03,Varna
