Code,Subdivision name ,Subdivision name ,Subdivision name 
ER-MA,Al Awsaţ,Ma’ĭkel,Maekel
ER-DU,Al Janūbī,Debub,Debub
ER-AN,Ansabā,‘Anseba,Anseba
ER-DK,Janūbī al Baḩrī al Aḩmar,Debubawi K’eyyĭḥ Baḥri,Southern Red Sea
ER-GB,Qāsh-Barkah,Gash-Barka,Gash-Barka
ER-SK,Shimālī al Baḩrī al Aḩmar,Semienawi K’eyyĭḥ Baḥri,Northern Red Sea
