Code,Subdivision name ,Subdivision name ,Subdivision category
BA-BIH,Federacija Bosne i Hercegovine,Federation of Bosnia and Herzegovina,entity
BA-SRP,Republika Srpska,Republika Srpska,entity
BA-BRC,Brčko distrikt,Brčko District,district with special status
