Code,Subdivision name 
BJ-AL,Alibori
BJ-AK,Atacora
BJ-AQ,Atlantique
BJ-BO,Borgou
BJ-CO,Collines
BJ-KO,Couffo
BJ-DO,Donga
BJ-LI,Littoral
BJ-MO,Mono
BJ-OU,Ouémé
BJ-PL,Plateau
BJ-ZO,Zou
