Former code,Subdivision name 
SI-07,Dolenjska
SI-09,Gorenjska
SI-11,Goriška
SI-03,Koroška
SI-10,Notranjsko-kraška
SI-12,Obalno-kraška
SI-08,Osrednjeslovenska
SI-02,Podravska
SI-01,Pomurska
SI-04,Savinjska
SI-06,Spodnjeposavska
SI-05,Zasavska
