Code,Subdivision name ,Subdivision name ,Subdivision name 

KM-G,Grande Comore,Andjazîdja,Anjazījah,Ngazidja
KM-A,Anjouan,Andjouân,Anjwān,Ndzuwani
KM-M,Mohéli,Moûhîlî,Mūhīlī,Mwali
