Former code,Subdivision name,Subdivision category
MD-GA,Găgăuzia Unitate Teritorială Autonomă,autonomous territory
MD-CU,Chişinău,city
MD-BA,Bălţi,district
MD-CA,Cahul,district
MD-CH,Chişinău,district
MD-ED,Edineţ,district
MD-LA,Lăpuşna,district
MD-OR,Orhei,district
MD-SO,Soroca,district
MD-TA,Taraclia,district
MD-TI,Tighina,district
MD-UN,Ungheni,district
MD-SN,Stînga Nistrului unitatea teritorială din,territorial unit
