Code,Subdivision name ,Local variant,Subdivision name ,Subdivision name 
BH-13,Al ‘Āşimah,Al Manāmah,Capital Governorate,محافظة العاصمة
BH-14,Al Janūbīyah,,Southern Governorate,المحافظة الجنوبية
BH-15,Al Muḩarraq,,Muharraq Governorate,محافظة المحرق
BH-17,Ash Shamālīyah,,Northern Governorate,المحافظة الشمالية
