Code,Subdivision name 
MA-05,Béni Mellal-Khénifra
MA-06,Casablanca-Settat
MA-12,Dakhla-Oued Ed-Dahab
MA-08,Drâa-Tafilalet
MA-03,Fès- Meknès
MA-10,Guelmim-Oued Noun
MA-11,Laâyoune-Sakia El Hamra
MA-07,Marrakech-Safi
MA-02,L'Oriental
MA-04,Rabat-Salé-Kénitra
MA-09,Souss-Massa
MA-01,Tanger-Tétouan-Al Hoceïma
