Code,Subdivision name ,Subdivision name ,Subdivision category
PK-IS,Islamabad,Islāmābād,federal capital territory
PK-BA,Balochistan,Balōchistān,province
PK-KP,Khyber Pakhtunkhwa,Khaībar Pakhtūnkhwā,province
PK-PB,Punjab,Panjāb,province
PK-SD,Sindh,Sindh,province
PK-TA,Federally Administered Tribal Areas,,territory
PK-JK,Azad Jammu and Kashmir,Āzād Jammūñ o Kashmīr,Pakistan administered area
PK-GB,Gilgit-Baltistan,Gilgit-Baltistān,Pakistan administered area
