Code,Subdivision name ,Subdivision name ,Subdivision category
DJ-AS,Ali Sabieh,‘Alī Şabīḩ,region
DJ-AR,Arta,‘Artā,region
DJ-DI,Dikhil,Dikhīl,region
DJ-OB,Obock,Awbūk,region
DJ-TA,Tadjourah,Tājūrah,region
DJ-DJ,Djibouti,Jībūtī,city
