Code,Subdivision name ,Subdivision name ,Subdivision name 
BE-BRU,Brussels Hoofdstedelijk Gewest,Bruxelles-Capitale Région de,Brussels-Capital Region
BE-VLG,Vlaams Gewest,flamande Région ,Flemish Region
BE-WAL,Waals Gewest,wallonne Région,Walloon Region
