Code,Subdivision name ,Subdivision name 
DK-84,Hovedstaden,Capital Region of Denmark
DK-82,Midtjylland,Central Denmark Region
DK-81,Nordjylland,North Denmark Region
DK-85,Sjælland,Region Zealand
DK-83,Syddanmark,Region of Southern Denmark
