Code,Subdivision name ,Subdivision category
PA-1,Bocas del Toro,province
PA-4,Chiriquí,province
PA-2,Coclé,province
PA-3,Colón,province
PA-5,Darién,province
PA-EM,Emberá,indigenous region
PA-KY,Guna Yala,indigenous region
PA-6,Herrera,province
PA-7,Los Santos,province
PA-NB,Ngöbe-Buglé,indigenous region
PA-8,Panamá,province
PA-10,Panamá Oeste,province
PA-9,Veraguas,province
