Code,Subdivision name,In region
BE-VAN,Antwerpen,VLG
BE-WBR,Brabant wallon,WAL
BE-WHT,Hainaut,WAL
BE-WLG,Liège,WAL
BE-VLI,Limburg,VLG
BE-WLX,Luxembourg,WAL
BE-WNA,Namur,WAL
BE-VOV,Oost-Vlaanderen,VLG
BE-VBR,Vlaams-Brabant,VLG
BE-VWV,West-Vlaanderen,VLG
