Former code,Subdivision name
ER-AG,Akele Guzai
ER-AS,Asmara
ER-BA,Barka
ER-DE,Denkalia
ER-GS,Gash-Setit
ER-HA,Hamasien
ER-SA,Sahel
ER-SM,Semhar
ER-SN,Senhit
ER-SR,Seraye
