Code,Entity,Subdivision name,claimed by China,ISO 3166-1 name,ISO 3166-2 codes
CN-HK,Hong Kong,Hong Kong SAR,Hong Kong,ISO 3166-2:HK
CN-MO,Macau,Macao SAR,Macao,ISO 3166-2:MO
CN-TW,Taiwan,Taiwan Sheng,Taiwan Province of China,ISO 3166-2:TW
