Code,Subdivision ,Subdivision ,Name,Local variant,Name,Local variant

NP-P1,Pradesh 1,,Province 1,
NP-P2,Pradesh 2,,Province 2,
NP-P3,Pradesh 3,,Province 3,
NP-P4,Gandaki,Pradesh 4,Gandaki,Province 4
NP-P5,Pradesh 5,,Province 5,
NP-P6,Karnali,Pradesh 6,Karnali,Province 6
NP-P7,Pradesh 7,,Province 7,
